,Artist,Scrape_Date,Joined,Subscribers,Total_Views,Published,Title,Category,Duration,Views,Likes,Dislikes,Paid,Family_Friendly,URL
21,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-10-03 00:00:00.000000,"ASMR Français | Traitement Doux Pour Ton Sommeil (Massage cranien, brosse, lotion, décompte..)",People & Blogs,31.8,1232099,22992,909,False,True,https://www.youtube.com/watch?v=Roaap0blQaA
22,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-09-29 00:00:00.000000,ASMR Livestream with Glow! THANKS FOR 500K!,Entertainment,123.21666666666667,135839,3280,92,False,True,https://www.youtube.com/watch?v=pTZxIFlmnO4
23,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-09-28 00:00:00.000000,ASMR Tracing on Your Face + Inaudible/Unintelligible Whispering (lots of mouth sounds lol),People & Blogs,21.866666666666667,427121,8675,371,False,True,https://www.youtube.com/watch?v=or8kZytkAHg
24,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-09-23 00:00:00.000000,"ASMR Twins Intense Layered Sounds (Wet mouth sounds, Mic scratching, Scalp massage, kisses...)",People & Blogs,21.05,1127653,17128,847,False,True,https://www.youtube.com/watch?v=O6OSgf9W-vo
25,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-09-21 00:00:00.000000,"ASMR Giving You a Soft Sleep Treatment (Scalp and brain massage, hair brushing, lotion, countdown..)",People & Blogs,39.63333333333333,1292291,16672,654,False,True,https://www.youtube.com/watch?v=5G7699tXHqM
26,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-09-16 00:00:00.000000,ASMR Storytime Closeup Ear to Ear + Tapping: My Tattoo Story,People & Blogs,30.783333333333335,361214,8949,211,False,True,https://www.youtube.com/watch?v=CmhX78F3dWw
27,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-09-14 00:00:00.000000,"ASMR Dental Examination (Gloves, Scraping sounds, Teeth brushing, Light trigger...)",People & Blogs,24.816666666666666,383646,7580,130,False,True,https://www.youtube.com/watch?v=s6d_b81shk8
28,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-09-10 00:00:00.000000,"ASMR Reiki | Energy Pulling (+ Mouth sounds, Countdown, Hand movements, Breathing, Jewellery sounds)",People & Blogs,20.2,610468,10123,271,False,True,https://www.youtube.com/watch?v=J4o9_84vMgY
29,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-09-07 00:00:00.000000,ASMR Brain Massage (Intense Mic Scratching),People & Blogs,20.4,769324,13448,329,False,True,https://www.youtube.com/watch?v=tcyPgCf0JbE
30,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-09-05 00:00:00.000000,"ASMR Massaging Your Face (Lotion sounds, Face tapping, Face brushing, Cottons)",People & Blogs,30.483333333333334,506273,9697,183,False,True,https://www.youtube.com/watch?v=UMwTgVLNwBw
31,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-08-30 00:00:00.000000,"ASMR Eating Candy (Intense Mouth Sounds, Crackling sounds, Scratching sounds, Plastic sounds...)",People & Blogs,18.85,647523,10904,819,False,True,https://www.youtube.com/watch?v=al29WMtYDH8
32,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-08-27 00:00:00.000000,"ASMR Medical Appointment (Gloves, Scalp inspection, Ear cleaning, Light trigger..)",People & Blogs,23.35,1155603,14962,545,False,True,https://www.youtube.com/watch?v=8MUI3To04yM
33,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-08-23 00:00:00.000000,"ASMR Painting Your Face Roleplay (Brushing sounds, Sponge sounds, Lid sounds, Soft speaking...)",People & Blogs,33.56666666666667,250819,5080,116,False,True,https://www.youtube.com/watch?v=frvacI-WRdc
34,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-08-19 00:00:00.000000,ASMR Twitch Bloopers! NEW CHANNEL!,People & Blogs,8.516666666666667,141779,3547,212,False,True,https://www.youtube.com/watch?v=BqMpOD7u4D0
35,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-08-16 00:00:00.000000,"ASMR Shaving Foam in Your Ears (Crackling sounds, foam sounds, whispering, lotion sounds)",People & Blogs,27.933333333333334,299240,6513,303,False,True,https://www.youtube.com/watch?v=WJNZQerZjfU
36,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-08-13 00:00:00.000000,"ASMR Intense Ear Relaxation (Layered sounds, scalp massage, wet mouth sounds, mic scratching)",People & Blogs,39.93333333333333,2095231,26469,2290,False,True,https://www.youtube.com/watch?v=hrM08iaFaqM
37,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-08-08 00:00:00.000000,ASMR Scalp Massage,People & Blogs,21.516666666666666,731456,10881,386,False,True,https://www.youtube.com/watch?v=XVSsM4sHfz4
38,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-07-29 00:00:00.000000,ASMR 3DIO Ear Brushing | BETTER 3DIO SOUNDS,People & Blogs,31.633333333333333,329213,6479,280,False,True,https://www.youtube.com/watch?v=FTcs-rv6Reg
39,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-07-25 00:00:00.000000,ASMR French! Je vous apprends l'Anglais! PART 3,People & Blogs,30.4,315979,7209,99,False,True,https://www.youtube.com/watch?v=_fZQEv6zRjo
40,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-07-16 00:00:00.000000,"ASMR Fixing You: 5 Years Later (Gloves sounds, Mic Brushing, Scratching sounds and +)",People & Blogs,44.21666666666667,777627,13937,290,False,True,https://www.youtube.com/watch?v=N3uHOF4pkHg
41,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-07-09 00:00:00.000000,ASMR 16 Triggers to Make You TINGLE! (Binaural),People & Blogs,37.333333333333336,290562,5861,127,False,True,https://www.youtube.com/watch?v=lDbfMCdV3gU
