,Artist,Joined,Subscribers,Total Views,Date,Title,Category,Views,Likes,Dislikes,URL
68,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-09,Jamil Smith - How Trumpism Prevails Even as Trump Is Refuted | The Daily Show,Comedy,132767,2008,70,https://www.youtube.com/watch?v=BmYKQG-2JXE
69,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-08,"Jeff Sessions, You’re Fired. Guy from CNN, You’re Hired. | The Daily Show",Comedy,1808176,22127,878,https://www.youtube.com/watch?v=28NKj86lTw4
70,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-08,John Kasich - Seeking Non-Partisan Solutions to America’s Problems | The Daily Show,Comedy,448052,6470,183,https://www.youtube.com/watch?v=JY-bPo4UIGA
71,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-08,Cory Booker - Bending the Arc of the Moral Universe Toward Justice in America | The Daily Show,Comedy,312506,6399,260,https://www.youtube.com/watch?v=WF7Pr3-EWas
72,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-07,Trump’s Anti-Press Press Conference & Jeff Sessions’s Forced Resignation | The Daily Show,Comedy,3829280,55636,2753,https://www.youtube.com/watch?v=_OfSMdshr_I
73,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-06,Trevor’s Live Election Results from Key Races | The Daily Show,Comedy,719616,10503,645,https://www.youtube.com/watch?v=6ewGX9kzEGo
74,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-05,"The Midterms Bring Out Celebs, Early Voters and Holograms | The Daily Show",Comedy,2758114,20216,1399,https://www.youtube.com/watch?v=h69N-IFNxM8
75,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-04,Dwyane Wade - Leaving the NBA on His Own Terms and Buying His Mom a Church | The Daily Show,Comedy,220499,3401,79,https://www.youtube.com/watch?v=WOUcIcR7zJY
76,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-04,Florida’s Lionfish Invasion | The Daily Show,Comedy,420480,8357,260,https://www.youtube.com/watch?v=9QoGumG9dGI
77,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-11-03,Ana Navarro - Trump’s Effect on the GOP & Florida’s Heated Gubernatorial Race | The Daily Show,Comedy,555206,8552,347,https://www.youtube.com/watch?v=IIUyyUglYiA
