,Artist,Scrape_Date,Search_Name,Joined,Subscribers,Total_Views,Published,Title,Category,Duration,Views,Likes,Dislikes,Paid,Family_Friendly,URL
23,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-11-02 00:00:00.000000,play with me!,Film & Animation,0.5166666666666667,337331,12291,29,False,True,https://www.youtube.com/watch?v=Z2f9bz5_2dM
24,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-11-02 00:00:00.000000,griffin's metamorphosis,Film & Animation,0.45,366842,14692,22,False,True,https://www.youtube.com/watch?v=m29U5IIoCM4
25,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-09-24 00:00:00.000000,wario time,Film & Animation,0.38333333333333336,304243,23218,119,False,True,https://www.youtube.com/watch?v=aegAuQ2_xhA
26,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-09-14 00:00:00.000000,ukulele,Film & Animation,1.4833333333333334,158066,7925,22,False,True,https://www.youtube.com/watch?v=hXrSE-pQOsk
27,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-08-19 00:00:00.000000,dogsitting,Film & Animation,1.2833333333333332,72016,5504,14,False,True,https://www.youtube.com/watch?v=9FWsMtKMu0Q
28,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-08-12 00:00:00.000000,pool vibes,Film & Animation,1.8833333333333333,111479,6407,7,False,True,https://www.youtube.com/watch?v=HuCy-NUfibA
29,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-07-05 00:00:00.000000,summer,Film & Animation,1.2,45206,3266,6,False,True,https://www.youtube.com/watch?v=0ftLJO5B4es
30,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-07-01 00:00:00.000000,360 test,Film & Animation,0.7833333333333333,32943,2531,4,False,True,https://www.youtube.com/watch?v=Y4HayX-MEa0
31,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-06-18 00:00:00.000000,one for the road,Film & Animation,1.8166666666666667,45641,2094,2,False,True,https://www.youtube.com/watch?v=qGR71vJfrG4
32,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-06-17 00:00:00.000000,let's be lazy,Film & Animation,3.5833333333333335,68364,3097,8,False,True,https://www.youtube.com/watch?v=Tw_OheCi4wA
33,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-06-07 00:00:00.000000,griffin's bean gets freaked,Film & Animation,1.2666666666666666,616966,22110,67,False,True,https://www.youtube.com/watch?v=oH7jPAvFTU8
34,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-06-02 00:00:00.000000,lullaby (feat. jeff ball),Film & Animation,1.4666666666666668,134616,6368,7,False,True,https://www.youtube.com/watch?v=o-nb1SAA7ec
35,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-05-31 00:00:00.000000,shiba funk,Film & Animation,1.0666666666666667,132996,9476,16,False,True,https://www.youtube.com/watch?v=r7HARH589x0
36,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-04-24 00:00:00.000000,louie got a midi fighter,Film & Animation,0.9,80492,5453,6,False,True,https://www.youtube.com/watch?v=diim1sWQCN4
37,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-03-30 00:00:00.000000,deep breaths,Film & Animation,2.15,36221,1695,2,False,True,https://www.youtube.com/watch?v=sYz2bzhYSWc
38,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-03-08 00:00:00.000000,speed up,Music,1.1333333333333333,271871,19726,53,False,True,https://www.youtube.com/watch?v=mbyc0swxjtw
39,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-01-30 00:00:00.000000,"Richard Davis - What'd You Say (Dealin', 1973)",Music,6.366666666666666,22793,767,6,False,True,https://www.youtube.com/watch?v=s_d1GIsXmDM
40,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2017-01-04 00:00:00.000000,beats ep (2017),Music,7.533333333333333,169635,7361,19,False,True,https://www.youtube.com/watch?v=L4rYLwyoa-A
41,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2016-12-29 00:00:00.000000,musical words,Music,0.65,174121,18102,23,False,True,https://www.youtube.com/watch?v=GNyuA6swU6w
42,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2016-10-24 00:00:00.000000,Shelter - Porter Robinson & Madeon (Remix),Music,3.6,113050,4088,38,False,True,https://www.youtube.com/watch?v=KEFJB-Sj5mU
43,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2016-07-09 00:00:00.000000,Game Grumps Animated - Ivan vs The Birds,Film & Animation,1.25,1061209,32442,134,False,True,https://www.youtube.com/watch?v=BrDkDdw2JnY
44,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2016-03-22 00:00:00.000000,undertale shop theme (multiple instruments at once),Film & Animation,0.65,51001,2998,4,False,True,https://www.youtube.com/watch?v=Nr7ZBJtn4QU
45,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2016-02-14 00:00:00.000000,Louie's Music Fun Times!,Film & Animation,7.3,133109,10329,24,False,True,https://www.youtube.com/watch?v=uc4sM_Xe8cA
46,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2015-08-30 00:00:00.000000,Game Grumps Animated - The Unexpected Visitor (Mario Golf),Film & Animation,0.95,288830,11518,36,False,True,https://www.youtube.com/watch?v=1xbOm6dzbK8
47,Louie Zong,2018-12-19 01:48:04.623153,helloworld,2013-02-10 00:00:00.000000,184538,14960200,2015-05-31 00:00:00.000000,Louie's Drawing Fun Times - Episode 3,Film & Animation,8.6,16743,807,2,False,True,https://www.youtube.com/watch?v=AUJe8Bil7Sw
