,Artist,Joined,Subscribers,Total Views,Date,Title,Category,Views,Likes,Dislikes,URL
28,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-06-19,🖌️ You are my CANVAS 🎨 ASMR ○ Painting ○ Brushing ○,Howto & Style,1203884,23125,730,https://www.youtube.com/watch?v=e5AXM0d4u_I
29,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-06-10,👐 Be My Guest 👐 ASMR ○ Cooking ○ Show-n-Tell ○ Inaudible Reading,Howto & Style,664226,13774,589,https://www.youtube.com/watch?v=0KBcsY7GDD4
30,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-06-04,💧 Oil for Your SOUL 💧 ASMR ○ Glass Dropper ○ Lid Sounds ○ Soft Spoken to Silent,Howto & Style,1316441,21518,894,https://www.youtube.com/watch?v=ufgK80ztXRM
31,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-05-27,Tasty Turkish Desserts 🍮 Gentle Eating ASMR ○ White Noise ○ Whisper,Howto & Style,884331,15632,1025,https://www.youtube.com/watch?v=jLLwX0pZ9bI
32,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-05-22,💤 Crinkles for your TINGLES 💤 ASMR | Most Satisfying | No Talking,Howto & Style,1006534,18582,665,https://www.youtube.com/watch?v=Ak0dmNiEVHc
33,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-05-15,○ Whispers ○ Crinkles ○ Hair Brushing ○ Bubbles ○ ASMR ○,Howto & Style,2300534,29520,1082,https://www.youtube.com/watch?v=fySJpTvMUSo
34,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-05-07,👗 Prom Dress Fitting 👗 ASMR ○ Measuring ○ Crinkling,Howto & Style,1805628,21878,981,https://www.youtube.com/watch?v=Prn_fowSN4U
35,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-05-07,👗 Примерка Выпускного Платья 👗 АСМР ○ Замерки ○ Шуршание ○ Russian ASMR,Howto & Style,927282,14423,505,https://www.youtube.com/watch?v=-F7mBZOI_Bk
36,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-04-29,Adventure in Nature 🌲 ASMR 🌲 Soft Spoken,Howto & Style,1115219,37029,547,https://www.youtube.com/watch?v=3aMMshj-nJs
37,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-04-16,We Shell Relax 🐚 ASMR 🐚 Soft Spoken ○ Tapping ○ Waves ○ Meditation,Howto & Style,1187819,21534,669,https://www.youtube.com/watch?v=kr53u4EJr6g
38,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-04-09,✂️ Sleep-inducing Haircut 💇 ASMR | Shampoo | Page Flipping | Scissors,Howto & Style,9657249,60514,4965,https://www.youtube.com/watch?v=gf_MqDBBMPI
39,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-04-09,✂️ Усыпляющая Стрижка 💇 АСМР | Мытьё Волос | Ножнички | Перелистование Страниц,Howto & Style,2166748,26071,1959,https://www.youtube.com/watch?v=FN-B6c-UhHs
40,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-04-02,Metal Elements ⚙️ ASMR ⚙️ Soft Spoken,Howto & Style,1140042,18836,761,https://www.youtube.com/watch?v=kbWHHDAGpgc
41,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-03-25,♥,Howto & Style,686803,15371,602,https://www.youtube.com/watch?v=LZ2fI2trgMY
42,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-03-20,Good Evening | ASMR | Favorite Triggers,Howto & Style,1620961,22889,763,https://www.youtube.com/watch?v=a5fNI3RQauQ
43,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-03-12,ASMR 🍝 Cooking Session 🍝 Veggie Pasta,Howto & Style,712638,14677,643,https://www.youtube.com/watch?v=U6TmjadEPlg
44,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-03-05,📦 Unboxing Youtube Button 📦 Videocracy Book 🕮 ASMR | Whisper,Howto & Style,865362,24401,689,https://www.youtube.com/watch?v=nECj6I4h7yA
45,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-02-26,Fluffy Sleepy Whispers ASMR,Howto & Style,5025320,46456,4008,https://www.youtube.com/watch?v=gs-iqvX6pOA
46,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-02-19,💤 TAPS for YOUR NAPZzz 💤 ASMR,Howto & Style,6569112,84106,3778,https://www.youtube.com/watch?v=y1ucBSGR2Do
47,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-02-12,☕️ Teas Please ☕️ ASMR | Soft Spoken | Crinkling | Tapping,Howto & Style,1419633,17323,709,https://www.youtube.com/watch?v=Ew-wfNxeZmw
48,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-02-05,Sweet Cute and Sticky 💟 ASMR | Whisper | Stickers | Crinkles,Howto & Style,1407338,22130,882,https://www.youtube.com/watch?v=O6vBUsGCD4E
49,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-01-29,💤⚪️ Lint Rolling You to Sleep ⚪️💤 ASMR | Soft Spoken,Howto & Style,806993,14172,647,https://www.youtube.com/watch?v=eEoCxODjvYE
50,Gentle Whispering ASMR,2011-02-24,1552679,553807676,2018-01-21,ASMR 🌮 Cooking Session  🌮 Veggie Tacos 🌮,Howto & Style,891156,16368,724,https://www.youtube.com/watch?v=6-UN3l54nRw
