,Artist,Scrape_Date,Search_Name,Joined,Subscribers,Total_Views,Published,Title,Category,Duration,Views,Likes,Dislikes,Paid,Family_Friendly,URL
0,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-12-13 00:00:00.000000,Ariana Grande - imagine (lyric video),Music,3.533333333333333,7887642,572973,13269,False,True,https://www.youtube.com/watch?v=7_rftpd0u0U
1,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-12-11 00:00:00.000000,"Ariana Grande - thank u, next (behind the scenes - part 3)",Music,12.166666666666666,1648666,90135,1101,False,True,https://www.youtube.com/watch?v=o38V48OpPaU
2,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-12-07 00:00:00.000000,"Ariana Grande - thank u, next (behind the scenes - part 2)",Music,11.5,1715268,107878,786,False,True,https://www.youtube.com/watch?v=YQTATmS3_NQ
3,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-12-02 00:00:00.000000,"Ariana Grande - thank u, next (behind the scenes - part 1)",Music,9.766666666666667,3487661,241565,1855,False,True,https://www.youtube.com/watch?v=eTqyt2rqNtg
4,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-11-29 00:00:00.000000,"thank u, next - video (behind the scenes sneak peek)",Music,3.45,6939745,479595,2816,False,True,https://www.youtube.com/watch?v=gLU3Ad2zuSQ
5,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-11-28 00:00:00.000000,Ariana Grande: Dangerous Woman Diaries - Official Trailer,Music,1.0166666666666666,8974291,143721,3311,False,True,https://www.youtube.com/watch?v=GrQVvyIt9wA
6,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-11-27 00:00:00.000000,"Ariana Grande - thank u, next (clean)",Music,3.466666666666667,4955691,124918,1268,False,True,https://www.youtube.com/watch?v=ll4PiBEWFvI
7,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-11-27 00:00:00.000000,"Ariana Grande - thank u, next (trailer)",Music,4.1,3838893,299690,3854,False,True,https://www.youtube.com/watch?v=_TAAICRcgac
8,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-11-06 00:00:00.000000,"Ariana Grande - thank u, next (lyric video)",Music,3.466666666666667,55354934,1242790,26224,False,True,https://www.youtube.com/watch?v=LdeIHC2EGCE
9,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-11-03 00:00:00.000000,"Ariana Grande - thank u, next (audio)",Music,3.466666666666667,62154613,1265161,31329,False,True,https://www.youtube.com/watch?v=prvDemxqJIY
10,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-10-10 00:00:00.000000,Ariana Grande - breathin,Music,3.3166666666666664,6296329,417122,15149,False,True,https://www.youtube.com/watch?v=EEhZAHZQyf4
11,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-08-23 00:00:00.000000,Ariana Grande - breathin (audio),Music,3.283333333333333,83665098,739120,16158,False,True,https://www.youtube.com/watch?v=5OeR5XBEahU
12,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-07-23 00:00:00.000000,Ariana Grande - God is a woman (behind the scenes),Music,9.366666666666667,3315198,217653,3702,False,True,https://www.youtube.com/watch?v=QTPW_cIYp9o
13,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-07-19 00:00:00.000000,Ariana Grande - God is a woman (behind the scenes coming soon),Music,0.65,1424465,118581,2091,False,True,https://www.youtube.com/watch?v=1BYr1br2Ee4
14,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-07-12 00:00:00.000000,Ariana Grande - God is a woman (Lyric Video),Music,3.4333333333333336,79987407,962169,53939,False,True,https://www.youtube.com/watch?v=R-WlE-DkwbI
15,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-05-25 00:00:00.000000,Ariana Grande - No Tears Left To Cry (BTS - Part 3),Music,11.333333333333334,1503521,86126,981,False,True,https://www.youtube.com/watch?v=6R30CVohvdY
16,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-04-27 00:00:00.000000,Ariana Grande - No Tears Left To Cry (BTS - Part 2),Music,8.083333333333334,3403765,160453,1769,False,True,https://www.youtube.com/watch?v=RQTgJRwMdKQ
17,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2018-04-23 00:00:00.000000,Ariana Grande - No Tears Left To Cry (BTS - Part 1),Music,5.433333333333334,6316854,288055,3271,False,True,https://www.youtube.com/watch?v=bYOxsDiof3c
18,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2016-11-17 00:00:00.000000,Sweet Like Candy (Official Fragrance Commercial),Music,0.5166666666666667,1705796,64523,1013,False,True,https://www.youtube.com/watch?v=J1Cazzj9HWE
19,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2015-11-02 00:00:00.000000,Focus - Ariana Grande (Lyric Video),Music,3.5833333333333335,1474183,26909,925,False,True,https://www.youtube.com/watch?v=T4FAg5A4wQk
20,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2014-09-30 00:00:00.000000,Google: Hangout w/ Ariana Grande 9/30/14,Music,1.9333333333333333,1164559,23573,769,False,True,https://www.youtube.com/watch?v=eNSxmqCza6Y
21,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2014-07-07 00:00:00.000000,Ariana Grande - Break Free (Lyric Video) Feat. Zedd,Music,3.7666666666666666,4219251,34169,1218,False,True,https://www.youtube.com/watch?v=KdPpZyCJNyg
22,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2014-07-02 00:00:00.000000,Ariana Grande - Break Free feat. Zedd (Audio),Music,3.5833333333333335,22776227,122582,3208,False,True,https://www.youtube.com/watch?v=cTgxlpS2L-o
23,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2013-12-27 00:00:00.000000,honeymoon ave - lullaby edition,Music,3.3,4309410,146354,2190,False,True,https://www.youtube.com/watch?v=hFchgev8mjc
24,Ariana Grande`,2018-12-18 16:08:18.026248,ariana grande breathin,2007-01-21 00:00:00.000000,29712247,10831102420,2013-12-19 00:00:00.000000,November / December month video :),Entertainment,4.683333333333334,1191783,38103,510,False,True,https://www.youtube.com/watch?v=2Ek3WMM7I-0
